ResponseId,Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,Currency,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,annual_salary_usd
1,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,14.0,"Developer, mobile",20 to 99 employees,People manager,Remote,Fintech,Ukraine,EUR European Euro,Bash/Shell (all shells);Dart;SQL,Cloud Firestore;PostgreSQL,61256.0
10004,55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,40.0,46.0,"Developer, full-stack","10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Computer Systems Design and Services,Germany,EUR European Euro,C#;Java;SQL,H2;MariaDB;Neo4J;Oracle,99773.0
10016,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,5.0,"Developer, full-stack","10,000 or more employees",Individual contributor,Remote,Healthcare,United States of America,USD United States dollar,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB,85000.0
1002,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,17.0,18.0,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,Fintech,Portugal,EUR European Euro,Bash/Shell (all shells);Lua;Rust;SQL;TypeScript,PostgreSQL;Clickhouse,145018.0
10030,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20.0,25.0,"Developer, full-stack","1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Banking/Financial Services,Australia,AUD	Australian dollar,C#;HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;Oracle,100765.0
10053,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,20.0,25.0,"Senior executive (C-suite, VP, etc.)",20 to 99 employees,People manager,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,France,EUR European Euro,Bash/Shell (all shells);C;OCaml,,232029.0
10055,45-54 years old,Some college/university study without earning a degree,Employed,28.0,28.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Software Development,United States of America,USD United States dollar,C#;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,215000.0
10073,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,11.0,11.0,"Developer, full-stack","10,000 or more employees",People manager,In-person,Software Development,India,INR Indian rupee,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript;VBA,MongoDB;MySQL;PostgreSQL,9299.0
10074,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,,6.0,Student,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,Bash/Shell (all shells);C;C++;Elixir;Java;JavaScript;Python;Rust,MongoDB,29951.0
10085,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4.0,10.0,"Developer, full-stack","10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)","Transportation, or Supply Chain",India,INR Indian rupee,C#;Java;JavaScript;SQL,Microsoft SQL Server;PostgreSQL,20923.0
10090,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,3.0,10.0,"Developer, full-stack",20 to 99 employees,Individual contributor,In-person,Software Development,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Rust;TypeScript,Microsoft SQL Server;SQLite,34035.0
10097,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",13.0,20.0,"Developer, back-end",,,,"Internet, Telecomm or Information Services",Slovakia,EUR European Euro,C#;HTML/CSS;JavaScript;TypeScript,Oracle;PostgreSQL;SQLite,90491.0
